School Name,Address,GSO Rating,Academic Progress,Test Scores,Equity Scores,School Types,Star Rating,Review Link,School Link,City,IsPreK,IsElementary,IsMiddle,IsHigh,Normalized Test Scores,Normalized Academic Progress,Normalized Equity Scores,Composite Score,Score Category,Private,Public District,Public Charter,lat,lon
Golden West Christian School,"1310 Liberty St, Los Angeles, CA, 90026",1,,,,"['Elementary school', 'Private']",,,https://www.greatschools.org/california/los-angeles/8764-Golden-West-Christian-School/,Los Angeles,False,True,False,False,,,,,Data Not Available,True,False,False,34.080941387755104,-118.34394481632653
Joannes Taylor-Tot Ext School,"1372 S Cochran Ave, Los Angeles, CA, 90019",1,,,,"['Elementary school', 'Private']",,,https://www.greatschools.org/california/los-angeles/8788-Joannes-Taylor-Tot-Ext-School/,Los Angeles,False,True,False,False,,,,,Data Not Available,True,False,False,34.23893615,-118.47567580803616
Kadima Day School,"7011 SHOUP AVE, Los Angeles, CA, 91307",1,,,,"['Pre-K', 'Elementary school', 'Middle school', 'Private']",4.1,https://www.greatschools.org/california/los-angeles/8789-Kadima-Day-School/reviews/,https://www.greatschools.org/california/los-angeles/8789-Kadima-Day-School/,Los Angeles,True,True,True,False,,,,,Data Not Available,True,False,False,34.1052386,-118.2016463
West Angeles Christian Academy,"3010 Crenshaw Blvd, Los Angeles, CA, 90016",1,,,,"['Elementary school', 'Middle school', 'Private']",3.7,,https://www.greatschools.org/california/los-angeles/8805-West-Angeles-Christian-Academy/,Los Angeles,False,True,True,False,,,,,Data Not Available,True,False,False,34.20476,-118.614778
Normandie Christian Of Los Angeles,"6306 South Normandie Avenue, Los Angeles, CA, 90044",1,,,,"['Elementary school', 'Private']",3.8,,https://www.greatschools.org/california/los-angeles/8836-Normandie-Christian-Of-Los-Angeles/,Los Angeles,False,True,False,False,,,,,Data Not Available,True,False,False,34.0366005,-118.309004
Redeemer Alternative School,"900 E Rosecrans Ave, Los Angeles, CA, 90059",1,,,,"['Pre-K', 'Elementary school', 'Private']",,,https://www.greatschools.org/california/los-angeles/8862-Redeemer-Alternative-School/,Los Angeles,True,True,False,False,,,,,Data Not Available,True,False,False,33.902015399999996,-118.26029155061343
Southern California Montessori School,"1430 Centinela Avenue, Los Angeles, CA, 90025",1,,,,"['Pre-K', 'Elementary school', 'Private']",5.0,,https://www.greatschools.org/california/los-angeles/8870-Southern-California-Montessori-School/,Los Angeles,True,True,False,False,,,,,Data Not Available,True,False,False,34.200977,-118.475076
St. Nicholas School,"9501 BALBOA BLVD, Los Angeles, CA, 91325",1,,,,"['Pre-K', 'Elementary school', 'Middle school', 'Private']",4.2,https://www.greatschools.org/california/los-angeles/8882-St.-Nicholas-School/reviews/,https://www.greatschools.org/california/northridge/8882-St.-Nicholas-School/,Los Angeles,True,True,True,False,,,,,Data Not Available,True,False,False,34.02745294974874,-118.33500097487438
Sycamore Grove School,"4900 North Figueroa Street, Los Angeles, CA, 90042",1,,,,"['Elementary school', 'Middle school', 'Private']",5.0,,https://www.greatschools.org/california/los-angeles/8887-Sycamore-Grove-School/,Los Angeles,False,True,True,False,,,,,Data Not Available,True,False,False,33.93694869387755,-118.30018193877551
Valley Presbyterian School,"9240 HASKELL AVE, Los Angeles, CA, 91343",1,,,,"['Elementary school', 'Private']",4.2,https://www.greatschools.org/california/los-angeles/8905-Valley-Presbyterian-School/reviews/,https://www.greatschools.org/california/los-angeles/8905-Valley-Presbyterian-School/,Los Angeles,False,True,False,False,,,,,Data Not Available,True,False,False,,
