School Name,Address,GSO Rating,Academic Progress,Test Scores,Equity Scores,School Types,Star Rating,Review Link,School Link,City,IsPreK,IsElementary,IsMiddle,IsHigh,Normalized Test Scores,Normalized Academic Progress,Normalized Equity Scores,Composite Score,Score Category,Private,Public District,Public Charter,lat,lon
Carpenter Community Charter School,"3909 Carpenter Ave., Los Angeles, CA, 91604",10,9.0,10.0,10.0,"['Elementary school', 'Public charter']",4.2,https://www.greatschools.org/california/los-angeles/1978-Carpenter-Community-Charter-School/reviews/,https://www.greatschools.org/california/studio-city/1978-Carpenter-Community-Charter-School/,Los Angeles,False,True,False,False,1.0,0.9,1.0,10.0,Above Average,False,True,False,34.125112800000004,-118.34574579999999
Valley View Elementary School,"6921 Woodrow Wilson Drive, Los Angeles, CA, 90068",10,10.0,9.0,,"['Elementary school', 'Public district']",4.6,https://www.greatschools.org/california/los-angeles/2443-Valley-View-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/2443-Valley-View-Elementary-School/,Los Angeles,False,True,False,False,0.9,1.0,,10.0,Above Average,False,False,True,34.141566652173914,-118.3916657826087
Balboa Gifted/High Ability Magnet Elementary School,"17020 Labrador Street, Los Angeles, CA, 91325",9,8.0,10.0,10.0,"['Elementary school', 'Public district']",4.1,https://www.greatschools.org/california/los-angeles/1916-Balboa-Gifted-High-Ability-Magnet-Elementary-School/reviews/,https://www.greatschools.org/california/northridge/1916-Balboa-Gifted-High-Ability-Magnet-Elementary-School/,Los Angeles,False,True,False,False,1.0,0.8,1.0,9.0,Above Average,False,False,True,34.08164608811022,-118.46238419161423
Beckford Charter for Enriched Studies,"19130 Tulsa St., Los Angeles, CA, 91326",9,7.0,10.0,10.0,"['Elementary school', 'Public charter']",3.3,https://www.greatschools.org/california/los-angeles/1925-Beckford-Charter-For-Enriched-Studies/reviews/,https://www.greatschools.org/california/northridge/1925-Beckford-Avenue-Elementary-School/,Los Angeles,False,True,False,False,1.0,0.7,1.0,9.0,Above Average,False,True,False,34.07012783304185,-118.48851923897199
Clover Avenue Elementary School,"11020 Clover Avenue, Los Angeles, CA, 90034",9,7.0,10.0,10.0,"['Elementary school', 'Public district']",4.4,https://www.greatschools.org/california/los-angeles/2003-Clover-Avenue-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/2003-Clover-Avenue-Elementary-School/,Los Angeles,False,True,False,False,1.0,0.7,1.0,9.0,Above Average,False,False,True,34.16117126530612,-118.38868102040817
Colfax Charter Elementary School,"11724 Addison St., Los Angeles, CA, 91607",9,7.0,10.0,10.0,"['Elementary school', 'Public charter']",4.0,https://www.greatschools.org/california/los-angeles/2007-Colfax-Charter-Elementary-School/reviews/,https://www.greatschools.org/california/north-hollywood/2007-Colfax-Charter-Elementary-School/,Los Angeles,False,True,False,False,1.0,0.7,1.0,9.0,Above Average,False,True,False,34.25376620833333,-118.49600666666667
Community Magnet Charter Elementary School,"11301 Bellagio Road, Los Angeles, CA, 90049",9,7.0,10.0,10.0,"['Elementary school', 'Public charter']",4.0,https://www.greatschools.org/california/los-angeles/2011-Community-Magnet-Charter-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/2011-Community-Magnet-Charter-Elementary-School/,Los Angeles,False,True,False,False,1.0,0.7,1.0,9.0,Above Average,False,True,False,34.070944,-118.334886
Fairburn Avenue Elementary School,"1403 Fairburn Avenue, Los Angeles, CA, 90024",9,7.0,10.0,10.0,"['Elementary school', 'Public district']",4.5,https://www.greatschools.org/california/los-angeles/2067-Fairburn-Avenue-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/2067-Fairburn-Avenue-Elementary-School/,Los Angeles,False,True,False,False,1.0,0.7,1.0,9.0,Above Average,False,False,True,34.02850930612245,-118.44035559183673
Granada Hills Charter High School,"10535 Zelzah Avenue, Los Angeles, CA, 91344",9,7.0,10.0,10.0,"['Elementary school', 'Middle school', 'High school', 'Public charter']",2.8,https://www.greatschools.org/california/los-angeles/2112-Granada-Hills-Charter-High-School/reviews/,https://www.greatschools.org/california/granada-hills/2112-Granada-Hills-Charter-High-School/,Los Angeles,False,True,True,True,1.0,0.7,1.0,9.0,Above Average,False,True,False,34.19214303345984,-118.63794262725573
Kenter Canyon Elementary School,"645 North Kenter Avenue, Los Angeles, CA, 90049",9,9.0,10.0,9.0,"['Elementary school', 'Public charter']",3.7,https://www.greatschools.org/california/los-angeles/2171-Kenter-Canyon-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/2171-Kenter-Canyon-Elementary-School/,Los Angeles,False,True,False,False,1.0,0.9,0.9,9.0,Above Average,False,True,False,34.24790095,-118.50320921585504
Mayall Street Elementary School,"16701 Mayall St., Los Angeles, CA, 91343",9,9.0,9.0,10.0,"['Elementary school', 'Public district']",3.6,https://www.greatschools.org/california/los-angeles/2230-Mayall-Street-Elementary-School/reviews/,https://www.greatschools.org/california/north-hills/2230-Mayall-Street-Elementary-School/,Los Angeles,False,True,False,False,0.9,0.9,1.0,9.0,Above Average,False,False,True,34.1142393225479,-118.37937221310472
Melrose Elementary School,"731 North Detroit Street, Los Angeles, CA, 90046",9,8.0,10.0,8.0,"['Elementary school', 'Public district']",4.5,https://www.greatschools.org/california/los-angeles/2234-Melrose-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/2234-Melrose-Elementary-School/,Los Angeles,False,True,False,False,1.0,0.8,0.8,9.0,Above Average,False,False,True,34.02777072972973,-118.42520956756756
Overland Avenue Elementary School,"10650 Ashby Avenue, Los Angeles, CA, 90064",9,7.0,10.0,10.0,"['Elementary school', 'Public district']",4.0,https://www.greatschools.org/california/los-angeles/2303-Overland-Avenue-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/2303-Overland-Avenue-Elementary-School/,Los Angeles,False,True,False,False,1.0,0.7,1.0,9.0,Above Average,False,False,True,34.17461553535354,-118.5152601919192
Richland Avenue Elementary School,"11562 Richland Avenue, Los Angeles, CA, 90064",9,8.0,10.0,10.0,"['Elementary school', 'Public district']",4.5,https://www.greatschools.org/california/los-angeles/2345-Richland-Avenue-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/2345-Richland-Avenue-Elementary-School/,Los Angeles,False,True,False,False,1.0,0.8,1.0,9.0,Above Average,False,False,True,34.15798232183741,-118.62905153876252
Third Street Elementary School,"201 South June Street, Los Angeles, CA, 90004",9,8.0,10.0,10.0,"['Elementary school', 'Public district']",4.2,https://www.greatschools.org/california/los-angeles/2422-Third-Street-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/2422-Third-Street-Elementary-School/,Los Angeles,False,True,False,False,1.0,0.8,1.0,9.0,Above Average,False,False,True,34.240606142857146,-118.42020326530611
Vena Avenue Elementary School,"9377 Vena Ave., Los Angeles, CA, 91331",9,8.0,8.0,10.0,"['Elementary school', 'Public district']",4.4,https://www.greatschools.org/california/los-angeles/2453-Vena-Avenue-Elementary-School/reviews/,https://www.greatschools.org/california/arleta/2453-Vena-Avenue-Elementary-School/,Los Angeles,False,True,False,False,0.8,0.8,1.0,9.0,Above Average,False,False,True,34.26181142857143,-118.52346081632652
Welby Way Elementary Charter School,"23456 Welby Way, Los Angeles, CA, 91307",9,7.0,10.0,10.0,"['Elementary school', 'Public charter']",3.4,https://www.greatschools.org/california/los-angeles/2480-Welby-Way-Elementary-Charter-School/reviews/,https://www.greatschools.org/california/west-hills/2480-Welby-Way-Elementary-Charter-School/,Los Angeles,False,True,False,False,1.0,0.7,1.0,9.0,Above Average,False,True,False,34.05951914285715,-118.4311143877551
Westwood Charter Elementary School,"2050 Selby Avenue, Los Angeles, CA, 90025",9,9.0,10.0,9.0,"['Elementary school', 'Public charter']",4.0,https://www.greatschools.org/california/los-angeles/2485-Westwood-Charter-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/2485-Westwood-Charter-Elementary-School/,Los Angeles,False,True,False,False,1.0,0.9,0.9,9.0,Above Average,False,True,False,34.04969975,-118.390579
Wonderland Avenue Elementary School,"8510 Wonderland Avenue, Los Angeles, CA, 90046",9,7.0,10.0,10.0,"['Elementary school', 'Public district']",4.4,https://www.greatschools.org/california/los-angeles/2498-Wonderland-Avenue-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/2498-Wonderland-Avenue-Elementary-School/,Los Angeles,False,True,False,False,1.0,0.7,1.0,9.0,Above Average,False,False,True,34.0510434,-118.3666489
The Academy for Enriched Sciences,"17551 Miranda St., Los Angeles, CA, 91316",9,7.0,10.0,10.0,"['Elementary school', 'Public district']",4.8,https://www.greatschools.org/california/los-angeles/25715-The-Academy-For-Enriched-Sciences/reviews/,https://www.greatschools.org/california/encino/25715-The-Academy-For-Enriched-Sciences/,Los Angeles,False,True,False,False,1.0,0.7,1.0,9.0,Above Average,False,False,True,34.268061477640316,-118.55029582917044
Calabash Charter Academy,"23055 Eugene St., Los Angeles, CA, 91364",8,8.0,9.0,8.0,"['Elementary school', 'Public charter']",4.6,https://www.greatschools.org/california/los-angeles/1965-Calabash-Charter-Academy/reviews/,https://www.greatschools.org/california/woodland-hills/1965-Calabash-Charter-Academy/,Los Angeles,False,True,False,False,0.9,0.8,0.8,8.0,Above Average,False,True,False,,
Canfield Avenue Elementary School,"9233 Airdrome Street, Los Angeles, CA, 90035",8,7.0,9.0,7.0,"['Elementary school', 'Public district']",4.3,https://www.greatschools.org/california/los-angeles/1969-Canfield-Avenue-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/1969-Canfield-Avenue-Elementary-School/,Los Angeles,False,True,False,False,0.9,0.7,0.7,8.0,Above Average,False,False,True,34.1273363793966,-118.2273583793966
Castle Heights Elementary School,"9755 Cattaraugus Avenue, Los Angeles, CA, 90034",8,7.0,10.0,8.0,"['Elementary school', 'Public district']",4.7,https://www.greatschools.org/california/los-angeles/1984-Castle-Heights-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/1984-Castle-Heights-Elementary-School/,Los Angeles,False,True,False,False,1.0,0.7,0.8,8.0,Above Average,False,False,True,34.03852759183673,-118.42093963265306
Castlebay Lane Charter School,"19010 Castlebay Ln., Los Angeles, CA, 91326",8,6.0,9.0,9.0,"['Elementary school', 'Public charter']",4.3,https://www.greatschools.org/california/los-angeles/1985-Castlebay-Lane-Charter-School/reviews/,https://www.greatschools.org/california/porter-ranch/1985-Castlebay-Lane-Charter-School/,Los Angeles,False,True,False,False,0.9,0.6,0.9,8.0,Above Average,False,True,False,34.109382499999995,-118.26695016666666
Darby Avenue Charter School,"10818 Darby Ave., Los Angeles, CA, 91326",8,6.0,9.0,9.0,"['Elementary school', 'Public charter']",3.8,https://www.greatschools.org/california/los-angeles/2023-Darby-Avenue-Charter-School/reviews/,https://www.greatschools.org/california/northridge/2023-Darby-Avenue-Charter-School/,Los Angeles,False,True,False,False,0.9,0.6,0.9,8.0,Above Average,False,True,False,34.08405524489796,-118.34524922448979
Delevan Drive Elementary School,"4168 West Avenue 42, Los Angeles, CA, 90065",8,7.0,9.0,9.0,"['Elementary school', 'Public district']",4.5,https://www.greatschools.org/california/los-angeles/2028-Delevan-Drive-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/2028-Delevan-Drive-Elementary-School/,Los Angeles,False,True,False,False,0.9,0.7,0.9,8.0,Above Average,False,False,True,34.01620473363737,-118.43513071732175
Hancock Park Elementary School,"408 South Fairfax Avenue, Los Angeles, CA, 90036",8,7.0,9.0,7.0,"['Elementary school', 'Public district']",4.3,https://www.greatschools.org/california/los-angeles/2130-Hancock-Park-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/2130-Hancock-Park-Elementary-School/,Los Angeles,False,True,False,False,0.9,0.7,0.7,8.0,Above Average,False,False,True,34.29338815,-118.54759868052582
Haskell Elementary Sci Tech Engr Arts and Math (STEAM) Magnet,"15850 Tulsa St., Los Angeles, CA, 91344",8,7.0,8.0,8.0,"['Elementary school', 'Public district']",4.5,https://www.greatschools.org/california/los-angeles/2136-Haskell-Elementary-Sci-Tech-Engr-Arts-And-Math-STEAM-Magnet/reviews/,https://www.greatschools.org/california/granada-hills/2136-Haskell-Elementary-School/,Los Angeles,False,True,False,False,0.8,0.7,0.8,8.0,Above Average,False,False,True,34.24768965,-118.54641910810469
Ivanhoe Elementary School,"2828 Herkimer Street, Los Angeles, CA, 90039",8,7.0,10.0,6.0,"['Elementary school', 'Public district']",4.3,https://www.greatschools.org/california/los-angeles/2163-Ivanhoe-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/2163-Ivanhoe-Elementary-School/,Los Angeles,False,True,False,False,1.0,0.7,0.6,8.0,Above Average,False,False,True,34.305676766074725,-118.5054325461536
Justice Street Elementary,"23350 Just St., Los Angeles, CA, 91304",8,6.0,9.0,10.0,"['Elementary school', 'Public charter']",3.7,https://www.greatschools.org/california/los-angeles/2168-Justice-Street-Elementary/reviews/,https://www.greatschools.org/california/west-hills/2168-Justice-Street-Elementary/,Los Angeles,False,True,False,False,0.9,0.6,1.0,8.0,Above Average,False,True,False,34.252654990077104,-118.47723890848172
Lockhurst Drive Charter Elementary,"6170 Lockhurst Dr., Los Angeles, CA, 91367",8,6.0,9.0,9.0,"['Elementary school', 'Public charter']",4.3,https://www.greatschools.org/california/los-angeles/2200-Lockhurst-Drive-Charter-Elementary/reviews/,https://www.greatschools.org/california/woodland-hills/2200-Lockhurst-Drive-Charter-Elementary/,Los Angeles,False,True,False,False,0.9,0.6,0.9,8.0,Above Average,False,True,False,34.0491236,-118.5266324
Mar Vista Elementary School,"3330 Granville Avenue, Los Angeles, CA, 90066",8,7.0,10.0,7.0,"['Elementary school', 'Public district']",4.3,https://www.greatschools.org/california/los-angeles/2223-Mar-Vista-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/2223-Mar-Vista-Elementary-School/,Los Angeles,False,True,False,False,1.0,0.7,0.7,8.0,Above Average,False,False,True,34.02331804974737,-118.15623299867839
Mt. Washington Elementary School,"3981 San Rafael Avenue, Los Angeles, CA, 90065",8,7.0,10.0,8.0,"['Elementary school', 'Public district']",4.1,https://www.greatschools.org/california/los-angeles/2259-Mt.-Washington-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/2259-Mt.-Washington-Elementary-School/,Los Angeles,False,True,False,False,1.0,0.7,0.8,8.0,Above Average,False,False,True,34.03705944897959,-118.39701751020408
Palisades Charter Elementary School,"800 Via de La Paz, Los Angeles, CA, 90272",8,7.0,10.0,6.0,"['Elementary school', 'Public charter']",4.7,https://www.greatschools.org/california/los-angeles/2306-Palisades-Charter-Elementary-School/reviews/,https://www.greatschools.org/california/pacific-palisades/2306-Palisades-Charter-Elementary-School/,Los Angeles,False,True,False,False,1.0,0.7,0.6,8.0,Above Average,False,True,False,34.26816055102041,-118.4776916122449
Roscomare Road Elementary School,"2425 Roscomare Road, Los Angeles, CA, 90077",8,7.0,10.0,,"['Elementary school', 'Public district']",4.2,https://www.greatschools.org/california/los-angeles/2354-Roscomare-Road-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/2354-Roscomare-Road-Elementary-School/,Los Angeles,False,True,False,False,1.0,0.7,,9.0,Above Average,False,False,True,34.02414145,-118.28275861166426
Thirty-Second Street USC Performing Arts,"822 West 32nd Street, Los Angeles, CA, 90007",8,8.0,7.0,7.0,"['Elementary school', 'Middle school', 'High school', 'Public district']",2.6,https://www.greatschools.org/california/los-angeles/2423-Thirty-Second-Street-USC-Performing-Arts/reviews/,https://www.greatschools.org/california/los-angeles/2423-Thirty-Second-Street-Usc-Performing-Arts/,Los Angeles,False,True,True,True,0.7,0.8,0.7,8.0,Above Average,False,False,True,34.18295668198916,-118.64772105525716
Topeka Charter School For Advanced Studies,"9815 Topeka Dr., Los Angeles, CA, 91324",8,7.0,9.0,8.0,"['Elementary school', 'Public charter']",4.0,https://www.greatschools.org/california/los-angeles/2428-Topeka-Charter-School-For-Advanced-Studies/reviews/,https://www.greatschools.org/california/northridge/2428-Topeka-Charter-School-For-Advanced-Studies/,Los Angeles,False,True,False,False,0.9,0.7,0.8,8.0,Above Average,False,True,False,34.088045094498675,-118.22589445092181
Van Gogh Charter School,"17160 Van Gogh St., Los Angeles, CA, 91344",8,6.0,9.0,10.0,"['Elementary school', 'Public charter']",4.3,https://www.greatschools.org/california/los-angeles/2445-Van-Gogh-Charter-School/reviews/,https://www.greatschools.org/california/granada-hills/2445-Van-Gogh-Charter-School/,Los Angeles,False,True,False,False,0.9,0.6,1.0,8.0,Above Average,False,True,False,34.16614328428903,-118.54474703280479
Vintage Math/Science/Technology Magnet School,"15848 Stare St., Los Angeles, CA, 91343",8,6.0,9.0,9.0,"['Elementary school', 'Public district']",4.3,https://www.greatschools.org/california/los-angeles/2463-Vintage-Math-Science-Technology-Magnet-School/reviews/,https://www.greatschools.org/california/north-hills/2463-Vintage-Math-Science-Technology-Magnet-School/,Los Angeles,False,True,False,False,0.9,0.6,0.9,8.0,Above Average,False,False,True,34.03166105050505,-118.20983772727273
Warner Avenue Elementary School,"615 Holmby Avenue, Los Angeles, CA, 90024",8,7.0,10.0,8.0,"['Elementary school', 'Public district']",4.3,https://www.greatschools.org/california/los-angeles/2474-Warner-Avenue-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/2474-Warner-Avenue-Elementary-School/,Los Angeles,False,True,False,False,1.0,0.7,0.8,8.0,Above Average,False,False,True,34.26759365100671,-118.53372212080536
KIPP Raices Academy,"668 Atlantic Blvd., Los Angeles, CA, 90022",8,10.0,7.0,7.0,"['Elementary school', 'Public charter']",4.3,https://www.greatschools.org/california/los-angeles/24775-KIPP-Raices-Academy/reviews/,https://www.greatschools.org/california/los-angeles/24775-KIPP-Raices-Academy/,Los Angeles,False,True,False,False,0.7,1.0,0.7,8.0,Above Average,False,True,False,34.120158200000006,-118.4645334608868
Wilbur Charter For Enriched Academics,"5213 Crebs Ave., Los Angeles, CA, 91356",8,8.0,9.0,8.0,"['Elementary school', 'Public charter']",4.5,https://www.greatschools.org/california/los-angeles/2490-Wilbur-Charter-For-Enriched-Academics/reviews/,https://www.greatschools.org/california/tarzana/2490-Wilbur-Charter-For-Enriched-Academics/,Los Angeles,False,True,False,False,0.9,0.8,0.8,8.0,Above Average,False,True,False,34.07011428571428,-118.43387214285714
Valley Charter Elementary School,"16514 Nordhoff St., Los Angeles, CA, 91343",8,8.0,8.0,9.0,"['Elementary school', 'Public charter']",4.4,https://www.greatschools.org/california/los-angeles/25397-Valley-Charter-Elementary-School/reviews/,https://www.greatschools.org/california/north-hills/25397-Valley-Charter-Elementary-School/,Los Angeles,False,True,False,False,0.8,0.8,0.9,8.0,Above Average,False,True,False,34.2349372,-118.49199636534337
Sherman Oaks Center For Enriched Studies,"18605 Erwin St., Los Angeles, CA, 91335",8,7.0,9.0,8.0,"['Elementary school', 'Middle school', 'High school', 'Public district']",3.3,https://www.greatschools.org/california/los-angeles/10957-Sherman-Oaks-Center-For-Enriched-Studies/reviews/,https://www.greatschools.org/california/reseda/10957-Sherman-Oaks-Center-For-Enriched-Studies/,Los Angeles,False,True,True,True,0.9,0.7,0.8,8.0,Above Average,False,False,True,34.060843265306126,-118.31611579591836
KIPP Los Angeles College Preparatory School,"2810 Whittier Boulevard, Los Angeles, CA, 90023",8,6.0,8.0,10.0,"['Elementary school', 'Middle school', 'Public charter']",4.2,,https://www.greatschools.org/california/los-angeles/12371-KIPP-Los-Angeles-College-Preparatory-School/,Los Angeles,False,True,True,False,0.8,0.6,1.0,8.0,Above Average,False,True,False,34.085339499999996,-118.1820462
Renaissance Arts Academy,"2558 North San Fernando Road, Los Angeles, CA, 90065",8,7.0,10.0,10.0,"['Elementary school', 'Middle school', 'High school', 'Public charter']",4.0,https://www.greatschools.org/california/los-angeles/12397-Renaissance-Arts-Academy/reviews/,https://www.greatschools.org/california/los-angeles/12397-Renaissance-Arts-Academy/,Los Angeles,False,True,True,True,1.0,0.7,1.0,9.0,Above Average,False,True,False,34.219171338851446,-118.52465243274662
Puc Milagro Charter School,"1855 North Main Street, Los Angeles, CA, 90031",8,7.0,10.0,9.0,"['Elementary school', 'Public charter']",5.0,,https://www.greatschools.org/california/los-angeles/14040-Puc-Milagro-Charter-School/,Los Angeles,False,True,False,False,1.0,0.7,0.9,9.0,Above Average,False,True,False,34.10340044736842,-118.25255589473684
Wilshire Park Elementary School,"4063 Ingraham St., Los Angeles, CA, 90005",8,10.0,7.0,6.0,"['Elementary school', 'Public district']",3.9,https://www.greatschools.org/california/los-angeles/16961-Wilshire-Park-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/16961-Wilshire-Park-Elementary-School/,Los Angeles,False,True,False,False,0.7,1.0,0.6,8.0,Above Average,False,False,True,,
Anahuacalmecac International University Preparatory Of North America,"4736 Huntington Drive South, Los Angeles, CA, 90032",8,7.0,6.0,,"['Elementary school', 'Middle school', 'High school', 'Public charter']",3.7,,https://www.greatschools.org/california/los-angeles/32108-Anahuacalmecac-International-University-Preparatory-Of-North-America/,Los Angeles,False,True,True,True,0.6,0.7,,7.0,Above Average,False,True,False,34.063868551020406,-118.24035236734694
Albion Street Elementary School,"322 South Avenue 18, Los Angeles, CA, 90031",7,10.0,5.0,4.0,"['Elementary school', 'Public district']",,,https://www.greatschools.org/california/los-angeles/1891-Albion-Street-Elementary-School/,Los Angeles,False,True,False,False,0.5,1.0,0.4,7.0,Above Average,False,False,True,34.23400318181818,-118.43004945454545
Allesandro Elementary School,"2210 Riverside Drive, Los Angeles, CA, 90039",7,7.0,8.0,6.0,"['Elementary school', 'Public district']",4.4,https://www.greatschools.org/california/los-angeles/1895-Allesandro-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/1895-Allesandro-Elementary-School/,Los Angeles,False,True,False,False,0.8,0.7,0.6,7.0,Above Average,False,False,True,34.06646726666666,-118.22020664444445
Apperson Street Elementary School,"10233 Woodward Ave., Los Angeles, CA, 91040",7,8.0,8.0,5.0,"['Elementary school', 'Public district']",3.7,https://www.greatschools.org/california/los-angeles/1906-Apperson-Street-Elementary-School/reviews/,https://www.greatschools.org/california/sunland/1906-Apperson-Street-Elementary-School/,Los Angeles,False,True,False,False,0.8,0.8,0.5,7.0,Above Average,False,False,True,34.0477972,-118.4303099
Brainard Elementary School,"11407 Brainard Ave., Los Angeles, CA, 91342",7,5.0,8.0,8.0,"['Elementary school', 'Public district']",2.8,https://www.greatschools.org/california/los-angeles/1941-Brainard-Elementary-School/reviews/,https://www.greatschools.org/california/lake-view-terrace/1941-Brainard-Elementary-School/,Los Angeles,False,True,False,False,0.8,0.5,0.8,7.0,Above Average,False,False,True,34.21719192929293,-118.61696125252526
Birdielee V. Bright Elementary School,"1771 West 36th Street, Los Angeles, CA, 90018",7,9.0,6.0,5.0,"['Elementary school', 'Public district']",3.9,https://www.greatschools.org/california/los-angeles/1946-Birdielee-V.-Bright-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/1946-Birdielee-V.-Bright-Elementary-School/,Los Angeles,False,True,False,False,0.6,0.9,0.5,7.0,Above Average,False,False,True,34.017151999999996,-118.41990186666668
Cantara Street Elementary School,"17950 Cantara St., Los Angeles, CA, 91335",7,9.0,6.0,5.0,"['Elementary school', 'Public district']",4.0,https://www.greatschools.org/california/los-angeles/1972-Cantara-Street-Elementary-School/reviews/,https://www.greatschools.org/california/reseda/1972-Cantara-Street-Elementary-School/,Los Angeles,False,True,False,False,0.6,0.9,0.5,7.0,Above Average,False,False,True,34.27743509355678,-118.36335151232775
Canterbury Avenue Elementary School,"13670 Montague St., Los Angeles, CA, 91331",7,8.0,7.0,6.0,"['Elementary school', 'Public district']",4.3,,https://www.greatschools.org/california/arleta/1973-Canterbury-Avenue-Elementary-School/,Los Angeles,False,True,False,False,0.7,0.8,0.6,7.0,Above Average,False,False,True,34.257144948979594,-118.60627779591836
Capistrano Avenue Elementary School,"8118 Capistrano Ave., Los Angeles, CA, 91304",7,7.0,7.0,7.0,"['Elementary school', 'Public district']",4.3,https://www.greatschools.org/california/los-angeles/1975-Capistrano-Avenue-Elementary-School/reviews/,https://www.greatschools.org/california/west-hills/1975-Capistrano-Avenue-Elementary-School/,Los Angeles,False,True,False,False,0.7,0.7,0.7,7.0,Above Average,False,False,True,34.183952918367346,-118.53890940816326
Castelar Street Elementary School,"840 Yale Street, Los Angeles, CA, 90012",7,6.0,7.0,7.0,"['Elementary school', 'Middle school', 'Public district']",4.3,https://www.greatschools.org/california/los-angeles/1983-Castelar-Street-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/1983-Castelar-Street-Elementary-School/,Los Angeles,False,True,True,False,0.7,0.6,0.7,7.0,Above Average,False,False,True,,
Chandler Elementary,"14030 Weddington St., Los Angeles, CA, 91401",7,6.0,9.0,7.0,"['Elementary school', 'Public district']",4.2,https://www.greatschools.org/california/los-angeles/1989-Chandler-Elementary/reviews/,https://www.greatschools.org/california/sherman-oaks/1989-Chandler-Elementary/,Los Angeles,False,True,False,False,0.9,0.6,0.7,8.0,Above Average,False,False,True,34.091248199999995,-118.23810499072349
Charnock Road Elementary School,"11133 Charnock Road, Los Angeles, CA, 90034",7,8.0,7.0,7.0,"['Elementary school', 'Public district']",4.1,https://www.greatschools.org/california/los-angeles/1991-Charnock-Road-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/1991-Charnock-Road-Elementary-School/,Los Angeles,False,True,False,False,0.7,0.8,0.7,8.0,Above Average,False,False,True,34.022895142857145,-118.310976
Chatsworth Park Elementary School,"22005 Devonshire St., Los Angeles, CA, 91311",7,6.0,8.0,8.0,"['Elementary school', 'Public district']",4.2,https://www.greatschools.org/california/los-angeles/1994-Chatsworth-Park-Elementary-School/reviews/,https://www.greatschools.org/california/chatsworth/1994-Chatsworth-Park-Elementary-School/,Los Angeles,False,True,False,False,0.8,0.6,0.8,8.0,Above Average,False,False,True,34.08923389473684,-118.24946210526316
City Terrace Elementary School,"4350 City Terrace Drive, Los Angeles, CA, 90063",7,7.0,7.0,7.0,"['Elementary school', 'Public district']",4.1,https://www.greatschools.org/california/los-angeles/1999-City-Terrace-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/1999-City-Terrace-Elementary-School/,Los Angeles,False,True,False,False,0.7,0.7,0.7,7.0,Above Average,False,False,True,34.13795104820688,-118.19885916521802
Cowan Avenue Elementary School,"7615 Cowan Avenue, Los Angeles, CA, 90045",7,6.0,7.0,7.0,"['Elementary school', 'Public district']",3.8,https://www.greatschools.org/california/los-angeles/2015-Cowan-Avenue-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/2015-Cowan-Avenue-Elementary-School/,Los Angeles,False,True,False,False,0.7,0.6,0.7,7.0,Above Average,False,False,True,34.25514369387755,-118.30712669387755
Dahlia Heights Elementary School,"5063 Floristan Avenue, Los Angeles, CA, 90041",7,7.0,10.0,5.0,"['Elementary school', 'Public district']",4.3,https://www.greatschools.org/california/los-angeles/2020-Dahlia-Heights-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/2020-Dahlia-Heights-Elementary-School/,Los Angeles,False,True,False,False,1.0,0.7,0.5,8.0,Above Average,False,False,True,34.13562741369394,-118.21212428736303
Dayton Heights Elementary School,"607 N. W.moreland Ave., Los Angeles, CA, 90004",7,8.0,7.0,7.0,"['Elementary school', 'Public district']",3.4,https://www.greatschools.org/california/los-angeles/2024-Dayton-Heights-Elementary-School/reviews/,https://www.greatschools.org/california/los-angeles/2024-Dayton-Heights-Elementary-School/,Los Angeles,False,True,False,False,0.7,0.8,0.7,8.0,Above Average,False,False,True,34.19057487755102,-118.6489241632653
